,Veiculo,UF,Combustivel,Marca,Modelo,AnoFab,AnoMod,Categoria,Cor,DataCad,idinstrutor,Situacao,mescad,anocad
0,VW/GOL 1.0,PB,gas/gnv,VW,GOL 1.0,2000,2000,APRENDIZ,BRANCA,30/3/2000 00:00:00,"25,00",1,3,2000
1,GM/CELTA,PB,gas/gnv,GM,CELTA,2001,2001,APRENDIZ,PRATA,30/3/2000 00:00:00,"12,00",1,3,2000
2,FIAT/UNO MILLE FIRE,PB,gas/gnv,FIAT,UNO MILLE FIRE,2001,2002,APRENDIZ,BRANCA,30/3/2000 00:00:00,"22,00",1,3,2000
3,GM/CELTA,PB,gas/gnv,GM,CELTA,2000,2001,APRENDIZ,VERMELHA,30/3/2000 00:00:00,"20,00",1,3,2000
4,GM/CELTA,PB,gas/gnv,GM,CELTA,2002,2002,APRENDIZ,VERDE,30/3/2000 00:00:00,"14,00",1,3,2000
5,GM/CELTA,PB,gas/gnv,GM,CELTA,2001,2001,APRENDIZ,BRANCA,30/3/2000 00:00:00,"37,00",1,3,2000
6,GM/CELTA,PB,gas/gnv,GM,CELTA,2002,2002,APRENDIZ,VERDE,30/3/2000 00:00:00,"32,00",1,3,2000
7,GM/CELTA,PB,gas/gnv,GM,CELTA,2002,2002,APRENDIZ,VERMELHA,30/3/2000 00:00:00,"9,00",1,3,2000
8,GM/CELTA,PB,gas/gnv,GM,CELTA,2001,2001,APRENDIZ,AZUL,30/3/2000 00:00:00,"26,00",1,3,2000
9,FIAT/UNO MILLE FIRE,PB,gas/gnv,FIAT,UNO MILLE FIRE,2001,2002,APRENDIZ,CINZA,30/3/2000 00:00:00,"45,00",1,3,2000
10,GM/CELTA,PB,gas/gnv,GM,CELTA,2002,2002,APRENDIZ,BRANCA,30/3/2000 00:00:00,"32,00",1,3,2000
11,FIAT/UNO MILLE FIRE,PB,gas/gnv,FIAT,UNO MILLE FIRE,2002,2002,APRENDIZ,VERDE,30/3/2000 00:00:00,"44,00",1,3,2000
12,GM/CELTA,PB,gas/gnv,GM,CELTA,2002,2002,APRENDIZ,BRANCA,30/3/2000 00:00:00,"37,00",1,3,2000
13,GM/CELTA,PB,gas/gnv,GM,CELTA,2002,2002,APRENDIZ,VERDE,30/3/2000 00:00:00,"39,00",1,3,2000
14,GM/CELTA,PB,gas/gnv,GM,CELTA,2002,2002,APRENDIZ,BRANCA,30/3/2000 00:00:00,"9,00",1,3,2000
15,FIAT/UNO MILLE FIRE,PB,gas/gnv,FIAT,UNO MILLE FIRE,2002,2002,APRENDIZ,BRANCA,30/3/2000 00:00:00,"44,00",1,3,2000
16,FIAT/UNO MILLE FIRE,PB,gas/gnv,FIAT,UNO MILLE FIRE,2002,2002,APRENDIZ,BRANCA,30/3/2000 00:00:00,"41,00",1,3,2000
17,I/KIA BESTA GS GRAND,PB,Diesel,I/KIA,BESTA GS GRAND,2001,2001,TRANSPORTE CLIENTES,BRANCA,30/3/2000 00:00:00,"4,00",0,3,2000
