IDCarro;Oficina;Servico;Mecanico;DataEntrada;DataSaida;Responsavel;Obs;ValorServico
12;RADBAT-PB;Troca de Bateria;Toinho;01/08/2003;01/08/2003;marcony;;95
13;AUTO ELÉTRICA DO GERALDO;troca de motor radiador;geraldo;07/08/2003;07/08/2003;fia;instrutor fia;206
11;AUTO ELÉTRICA DO GERALDO;troca de rolamento;geraldo;02/08/2003;02/08/2003;klebio;instrutor klebio.foi comprador um alternador novo na jeokar no dia 08/08/03 p/efeito de garantia.;340
2;AUTO ELÉTRICA DO GERALDO;troca da val. Do radiador;geraldo;08/08/2003;08/08/2003;patrickon;ifoi comprado um reservatorio de agua na promac valor R$27.50 pag boleto bancario.uma cebolinha em geraldo R$20 instrutor patrickson;67.50
19;AUTO ELÉTRICA DO GERALDO;troca de cilindro de ignição;geraldo;11/08/2003;11/08/2003;fabio;instrutor fabio;70
11;AUTO ELÉTRICA DO GERALDO;troca do tanque do radiador;geraldo;06/08/2003;06/08/2003;klebio;instrutor klebio;70
20;OFICINA NOSSA SENHORA DA PENHA;serviço de cabeçote;piloto;04/08/2003;04/08/2003;amaury;foi trocado refil da bomba.junta do tampão.junta do retentor d comando.um jogo retentor d val.limpeza do tanque de combustivel.borracha do escape (instrutor amauri);380
22;OFICINA NOSSA SENHORA DA PENHA;troca de colar.plator.disco;piloto;01/08/2003;01/08/2003;luiz;foi comprado um kit de embreagem na parafiat no valor de 180;230
22;CASA DO ÓLEO SÃO JOSE;troca de óleo;júnior;01/08/2003;01/08/2003;luiz;foi trocado óleo.filtro de ar.filtro de óleo  instrutor luiz;43.50
30;OFICINA NOSSA SENHORA DA PENHA;regulagem dos tuchos;piloto;31/07/2003;31/07/2003;edson 1;instrutor edson;20
5;OFICINA NOSSA SENHORA DA PENHA;troca de junta homoc.;piloto;04/08/2003;04/08/2003;gutemberg;foi comprado uma junta homoc. Na jeokar no valor R$ 125
instrutor gutemberg.;140
7;CENTER GÁS LTDA;regulagem do gás;vicente;11/08/2003;11/08/2003;sandro;foi trocado um ouring.regulado os tuchos em piloto porem não foi cobrado o serviço. Instrutor sandro;15
19;CASA DO ÓLEO SÃO JOSE;troca de óleo;júnior;09/08/2003;09/08/2003;fabio;instrutor fabio;16.50
5;CASA DO ÓLEO SÃO JOSE;troca de óleo;júnior;02/08/2003;02/08/2003;gutemberg;foi trocado filtro de ar do mesmo instrutor gutemberg;31.25
10;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;01/07/2003;01/07/2003;arley;informação do instrutor arley;45
14;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;09/08/2003;09/08/2003;tony;foi trocado faixas.limpeza geral no carro.valor da correia dentada R$ 25 instrutor tony;45
16;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;01/06/2003;01/06/2003;eduardo;instrutor eduardo;45
20;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;01/06/2003;01/06/2003;amaury;;45
19;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;01/06/2003;01/06/2003;fabio;instrutor fabio;45
13;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;01/06/2003;01/06/2003;fia;instrutora fia;45
17;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;01/08/2003;01/06/2003;erlano;;45
12;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;01/06/2003;01/06/2003;linaldo;instrutor marcony;45
18;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;01/06/2003;01/06/2003;arley;carro estava com instrutor nilson passou para instrutor tarso;45
11;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;08/08/2003;08/08/2003;klebio;instrutor klebio;45
15;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;01/08/2003;01/08/2003;marcony;;0
21;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;01/08/2003;01/08/2003;emmanuel;troca da primeira correia instrutor emmanuel;0
22;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;01/08/2003;01/08/2003;edson 2;;0
5;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;01/05/2003;01/05/2003;gutemberg;;45
2;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;01/04/2003;01/04/2003;patrickon;instrutor patrickson;105
8;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;01/06/2003;01/06/2003;rostanda;instrutor rostanda;45
7;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;01/06/2003;01/06/2003;sandro;;0
10;PNEUCAR COM DE PNEUS PEÇAS E SERVIÇOS LTDA;Troca de Pneus;Toinho;02/08/2003;02/08/2003;arley;alinhamento.balanceamento instrutor arley preço do pneus 165/70R unitario R$ 110
instrutor arley;226
7;PNEUCAR COM DE PNEUS PEÇAS E SERVIÇOS LTDA;suspenção diversos;Toinho;02/08/2003;02/08/2003;sandro;troca de kit estab uno.base diferencial.balanceamento.alinhamento.troca de buchas instrutor sandro;106
30;PNEUCAR COM DE PNEUS PEÇAS E SERVIÇOS LTDA;alinhamento.balanciamento;Toinho;02/08/2003;02/08/2003;edson 1;instrutor edson;18
26;CASA DO ÓLEO SÃO JOSE;troca de óleo;júnior;09/08/2003;09/08/2003;jefferson;troca do filtro de óleo.lubrificação motorista jefferson;163
14;PNEUSHOP AUTOCENTER LTDA;Troca de Pneus;Toinho;09/08/2003;09/08/2003;tony;troca de dois pneus dianteiros.alinhamento.balanciamento.preço do pneu 103
165/70 r13 instrutor tony;231
29;MOTOSHOP VEICULOS E PEÇAS LTDA;peças diversos (motos);edilson;02/08/2003;02/08/2003;gilberto;troca da troteção motor.guid.óleo.carga p cg inter original;90.57
7;OFICINA NOSSA SENHORA DA PENHA;regulagem dos tuchos;piloto;09/08/2003;09/08/2003;sandro;instrutor sandro;30
8;OFICINA NOSSA SENHORA DA PENHA;troca de junta homoc.;piloto;09/08/2003;09/08/2003;rostanda;;15
8;OFICINA NOSSA SENHORA DA PENHA;limpeza do tanque;piloto;09/08/2003;09/08/2003;rostanda;valor ref.troca de refil da bomba.limpeza do tanque.mão de obra.;215
16;GORDO DO CARBURADOR;regulador de pressão da bomba;cásio;16/08/2003;16/08/2003;eduardo;cásio cobrou R$ 70 de mão de obra;120
16;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;16/08/2003;16/08/2003;eduardo;foi trocado nesta mesma data o filtor de óleo p/troca com km 72546.óleo comprado por irenaldo;10
13;OFICINA NOSSA SENHORA DA PENHA;limpeza do tanque;piloto;16/08/2003;16/08/2003;fia;foi colocado um refil de bomba nesta data valor R$ 50 trocado filtro de óleo proxima troca do filtro km 77475.regulado no gás;100
11;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;16/08/2003;16/08/2003;klebio;foi trocado filtro de óleo nesta data.proxima troca de filtro km 148073;10
19;OFICINA NOSSA SENHORA DA PENHA;troca de colar.plator.disco;piloto;16/08/2003;16/08/2003;fabio;foi comprado kit de embreagem no irmão de mano da parafiat no valor R$ 140 obs.original.;200
8;OFICINA NOSSA SENHORA DA PENHA;troca de cabos e velas;piloto;19/08/2003;19/08/2003;rostanda;;105
8;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;09/03/2003;09/03/2003;rostanda;o óleo trocado foi comprado por irenaldo;10
30;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;01/08/2003;01/08/2003;edson 1;instrutor edson;0
11;PNEUCAR COM DE PNEUS PEÇAS E SERVIÇOS LTDA;troca de pastilha de freio;Toinho;23/08/2003;23/08/2003;klebio;foi trocado kit amortecedor.amortecedor.junta homoc.caixa de direção valor R$ 250. Junta hom do lado esquerdo;105
2;PNEUCAR COM DE PNEUS PEÇAS E SERVIÇOS LTDA;suspenção diversos;Toinho;23/08/2003;23/08/2003;patrickon;foi alinhado.balanceado valor 25;186
2;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;23/08/2003;23/08/2003;patrickon;foi trocado óleo.filtro de óleo;36
18;PNEUCAR COM DE PNEUS PEÇAS E SERVIÇOS LTDA;Troca de Pneus;Toinho;23/08/2003;23/08/2003;tacio;foi trocado dois pneus dianteiros.alinhado.balanceado valor 25 instrutor tacio;228
22;PNEUCAR COM DE PNEUS PEÇAS E SERVIÇOS LTDA;Troca de Pneus;Toinho;23/08/2003;23/08/2003;edson 2;foi trocado um pneu dianteiro do lado direito instrutor luiz alinhado.balanceado;148
18;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;23/08/2003;23/08/2003;tacio;foi trocado filtro de óleo nesta data;36
20;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;23/08/2003;23/08/2003;amaury;;36
12;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;23/08/2003;23/08/2003;marcony;foi trocado filtro de óleo nesta data proxima troca 95826;36
10;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;23/08/2003;23/08/2003;arley;;16
25;CASA DO ÓLEO SÃO JOSE;troca de óleo;júnior;23/08/2003;23/08/2003;antonio;foi trocado filtro do óleo nesta data;30
15;RENOREGIA;Troca de Pneus;francisco;23/08/2003;23/08/2003;linaldo;foi colocado dois peneus na trazeira comprados na renogeria.alinhado e balanceado.;150
10;OFICINA NOSSA SENHORA DA PENHA;troca de filtro de ar;piloto;27/08/2003;27/08/2003;arley;FILTRO COMPRADO POR IRENALDO VALOR R$5.90;7
21;PNEUCAR COM DE PNEUS PEÇAS E SERVIÇOS LTDA;alinhamento.balanciamento;Toinho;28/08/2003;28/08/2003;emmanuel;FOI ALINHAMENTO SÓ DE UM PNEU DIANTEIRO DO LADO DIREITO;12
13;RENOREGIA;conserto pneu;francisco;28/08/2003;28/08/2003;fia;pneu furado na pista de prova com aluno no dia 27/08/03;10
31;CENTER GÁS LTDA;reinstalação de equipamento de gás;vicente;18/08/2003;18/08/2003;zê felinto;;445
14;CENTER GÁS LTDA;regulagem do gás;vicente;25/08/2003;25/08/2003;tony;;10
22;CENTER GÁS LTDA;regulagem do gás;vicente;04/08/2003;04/08/2003;luiz;;10
20;GORDO DO CARBURADOR;limpeza da injeção;cásio;28/08/2003;28/08/2003;amaury;;40
10;OFICINA NOSSA SENHORA DA PENHA;Velas;piloto;28/08/2003;28/08/2003;arley;;25
10;OFICINA NOSSA SENHORA DA PENHA;troca de base da macha do celta;piloto;28/08/2003;28/08/2003;arley;;40
31;PNEUCAR COM DE PNEUS PEÇAS E SERVIÇOS LTDA;alinhamento.balanciamento;Toinho;22/08/2003;22/08/2003;zê felinto;;6
2;OFICINA NOSSA SENHORA DA PENHA;troca de cabos e velas;piloto;30/08/2003;30/08/2003;patrickon;;125
20;OFICINA NOSSA SENHORA DA PENHA;suspenção diversos;piloto;30/08/2003;30/08/2003;amaury;piloto cobrou R$ 70 de mão de obra;196
20;OFICINA NOSSA SENHORA DA PENHA;troca de cabos e velas;piloto;30/08/2001;30/08/2001;amaury;;95
15;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;30/08/2003;30/08/2003;linaldo;foi trocado uma lâmpada de farol lado direito valor 5;20
21;PNEUCAR COM DE PNEUS PEÇAS E SERVIÇOS LTDA;Troca de Pneus;Toinho;30/08/2003;30/08/2003;emmanuel;foi feito alinhamento no mesmo dia;216
25;PNEUCAR COM DE PNEUS PEÇAS E SERVIÇOS LTDA;lubrificação;Toinho;30/08/2003;30/08/2003;antonio;;20
22;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;30/08/2003;30/08/2003;edson 2;foi troca óleo.filtro de óleo;19
17;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;30/08/2003;30/08/2003;erlano;;19
29;MOTOCROSS PEÇAS E SERVIÇOS;diversos moto;dinho;30/08/2003;30/08/2003;gilberto;;77.30
14;AUTO ELÉTRICA DO GERALDO;troca do motor de aranque;geraldo;02/09/2003;02/09/2003;tony;;180
7;OFICINA NOSSA SENHORA DA PENHA;troca de junta homoc.;piloto;03/09/2003;03/09/2003;sandro;mão de obra custou R$ 20;125
31;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;03/09/2003;03/09/2003;zê felinto;;20.98
26;RS-REGINALDO SILVA;troca das borrachas do amortecedor;francisco;23/08/2003;23/08/2003;jefferson;;40
19;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;06/09/2003;06/09/2003;fabio;foi colocado um par de palheta neste carro;19.60
13;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;06/09/2003;06/09/2003;fia;foi trocado no mesmo dia a correia do alternador.piloto cobrou R$20 de mão de obra;48
7;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;06/09/2003;06/09/2003;sandro;piloto cobrou R$ 20 de mão de obra.;75
7;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;06/09/2003;06/09/2003;sandro;foi trocado filtro de óleo na mesma data;19.60
21;RENOREGIA;Troca de Pneus;Toinho;05/09/2003;05/09/2003;emmanuel;;140
10;OFICINA NOSSA SENHORA DA PENHA;troca dos cabos de vela;piloto;10/09/2003;10/09/2003;arley;;70
